"DATE","TIME PERIOD","Euro Area 2 Years Government Benchmark Bond - Yield (FM.M.U2.EUR.4F.BB.U2_2Y.YLD)"
"1970-01-31","1970Jan","7.6160"
"1970-02-28","1970Feb","7.6560"
"1970-03-31","1970Mar","8.2160"
"1970-04-30","1970Apr","8.0160"
"1970-05-31","1970May","8.3060"
"1970-06-30","1970Jun","8.5560"
"1970-07-31","1970Jul","7.8360"
"1970-08-31","1970Aug","7.9660"
"1970-09-30","1970Sep","8.2460"
"1970-10-31","1970Oct","8.1060"
"1970-11-30","1970Nov","7.8860"
"1970-12-31","1970Dec","7.4360"
"1971-01-31","1971Jan","7.1360"
"1971-02-28","1971Feb","7.4260"
"1971-03-31","1971Mar","7.5560"
"1971-04-30","1971Apr","7.2760"
"1971-05-31","1971May","7.4260"
"1971-06-30","1971Jun","7.9160"
"1971-07-31","1971Jul","7.8260"
"1971-08-31","1971Aug","7.6760"
"1971-09-30","1971Sep","7.5960"
"1971-10-31","1971Oct","7.4760"
"1971-11-30","1971Nov","7.3760"
"1971-12-31","1971Dec","7.0960"
"1972-01-31","1972Jan","6.3960"
"1972-02-29","1972Feb","6.1160"
"1972-03-31","1972Mar","6.2160"
"1972-04-30","1972Apr","6.6060"
"1972-05-31","1972May","6.4360"
"1972-06-30","1972Jun","6.8460"
"1972-07-31","1972Jul","6.9560"
"1972-08-31","1972Aug","6.8960"
"1972-09-30","1972Sep","6.6660"
"1972-10-31","1972Oct","7.6160"
"1972-11-30","1972Nov","7.7860"
"1972-12-31","1972Dec","7.9260"
"1973-01-31","1973Jan","7.5960"
"1973-02-28","1973Feb","7.5760"
"1973-03-31","1973Mar","8.0060"
"1973-04-30","1973Apr","8.6860"
"1973-05-31","1973May","9.3160"
"1973-06-30","1973Jun","9.6860"
"1973-07-31","1973Jul","10.1160"
"1973-08-31","1973Aug","9.4060"
"1973-09-30","1973Sep","9.7260"
"1973-10-31","1973Oct","9.3660"
"1973-11-30","1973Nov","9.5160"
"1973-12-31","1973Dec","9.5860"
"1974-01-31","1974Jan","9.3960"
"1974-02-28","1974Feb","10.0060"
"1974-03-31","1974Mar","10.1660"
"1974-04-30","1974Apr","10.0960"
"1974-05-31","1974May","9.8960"
"1974-06-30","1974Jun","9.9360"
"1974-07-31","1974Jul","9.8960"
"1974-08-31","1974Aug","10.0160"
"1974-09-30","1974Sep","10.0760"
"1974-10-31","1974Oct","9.8860"
"1974-11-30","1974Nov","9.2860"
"1974-12-31","1974Dec","8.8760"
"1975-01-31","1975Jan","7.9760"
"1975-02-28","1975Feb","7.2560"
"1975-03-31","1975Mar","7.2360"
"1975-04-30","1975Apr","6.9360"
"1975-05-31","1975May","6.6960"
"1975-06-30","1975Jun","6.8060"
"1975-07-31","1975Jul","6.7660"
"1975-08-31","1975Aug","6.7960"
"1975-09-30","1975Sep","6.8360"
"1975-10-31","1975Oct","6.9260"
"1975-11-30","1975Nov","6.8660"
"1975-12-31","1975Dec","6.8160"
"1976-01-31","1976Jan","6.5360"
"1976-02-29","1976Feb","6.0360"
