observation_date,DFEDTAR
2008-01-01,4.2500
2008-01-02,4.2500
2008-01-03,4.2500
2008-01-04,4.2500
2008-01-05,4.2500
2008-01-06,4.2500
2008-01-07,4.2500
2008-01-08,4.2500
2008-01-09,4.2500
2008-01-10,4.2500
2008-01-11,4.2500
2008-01-12,4.2500
2008-01-13,4.2500
2008-01-14,4.2500
2008-01-15,4.2500
2008-01-16,4.2500
2008-01-17,4.2500
2008-01-18,4.2500
2008-01-19,4.2500
2008-01-20,4.2500
2008-01-21,4.2500
2008-01-22,3.5000
2008-01-23,3.5000
2008-01-24,3.5000
2008-01-25,3.5000
2008-01-26,3.5000
2008-01-27,3.5000
2008-01-28,3.5000
2008-01-29,3.5000
2008-01-30,3.0000
2008-01-31,3.0000
2008-02-01,3.0000
2008-02-02,3.0000
2008-02-03,3.0000
2008-02-04,3.0000
2008-02-05,3.0000
2008-02-06,3.0000
2008-02-07,3.0000
2008-02-08,3.0000
2008-02-09,3.0000
2008-02-10,3.0000
2008-02-11,3.0000
2008-02-12,3.0000
2008-02-13,3.0000
2008-02-14,3.0000
2008-02-15,3.0000
2008-02-16,3.0000
2008-02-17,3.0000
2008-02-18,3.0000
2008-02-19,3.0000
2008-02-20,3.0000
2008-02-21,3.0000
2008-02-22,3.0000
2008-02-23,3.0000
2008-02-24,3.0000
2008-02-25,3.0000
2008-02-26,3.0000
2008-02-27,3.0000
2008-02-28,3.0000
2008-02-29,3.0000
2008-03-01,3.0000
2008-03-02,3.0000
2008-03-03,3.0000
2008-03-04,3.0000
2008-03-05,3.0000
2008-03-06,3.0000
2008-03-07,3.0000
2008-03-08,3.0000
2008-03-09,3.0000
2008-03-10,3.0000
2008-03-11,3.0000
2008-03-12,3.0000
2008-03-13,3.0000
2008-03-14,3.0000
2008-03-15,3.0000
2008-03-16,3.0000
2008-03-17,3.0000
2008-03-18,2.2500
2008-03-19,2.2500
2008-03-20,2.2500
2008-03-21,2.2500
2008-03-22,2.2500
2008-03-23,2.2500
2008-03-24,2.2500
2008-03-25,2.2500
2008-03-26,2.2500
2008-03-27,2.2500
2008-03-28,2.2500
2008-03-29,2.2500
2008-03-30,2.2500
2008-03-31,2.2500
2008-04-01,2.2500
2008-04-02,2.2500
2008-04-03,2.2500
2008-04-04,2.2500
2008-04-05,2.2500
2008-04-06,2.2500
2008-04-07,2.2500
2008-04-08,2.2500
2008-04-09,2.2500
2008-04-10,2.2500
2008-04-11,2.2500
2008-04-12,2.2500
2008-04-13,2.2500
2008-04-14,2.2500
2008-04-15,2.2500
