Date;PX_LAST;CHG_PCT_1D
10/01/2025;-0,071;-101,72
03/01/2025;-0,035;14,795
27/12/2024;-0,041;-2305,523
20/12/2024;-0,002;-101,152
13/12/2024;0,149;-10,778
06/12/2024;0,166;97,613
29/11/2024;0,084;-48,807
22/11/2024;0,165;-6,603
15/11/2024;0,176;26,456
08/11/2024;0,139;1,165
01/11/2024;0,138;599,436
25/10/2024;-0,028;60,749
18/10/2024;-0,07;28,888
11/10/2024;-0,099;0,571
04/10/2024;-0,099;66,923
27/09/2024;-0,3;-19,827
20/09/2024;-0,251;35,191
13/09/2024;-0,387;12,886
06/09/2024;-0,444;-6,156
30/08/2024;-0,418;17,556
23/08/2024;-0,507;15,133
16/08/2024;-0,598;-8,596
09/08/2024;-0,551;3,043
02/08/2024;-0,568;-7,192
26/07/2024;-0,53;-32,332
19/07/2024;-0,4;34,707
12/07/2024;-0,613;1,767
05/07/2024;-0,624;-30,722
28/06/2024;-0,477;-0,51
21/06/2024;-0,475;-16,995
14/06/2024;-0,406;-8,266
07/06/2024;-0,375;-3,757
31/05/2024;-0,361;0,29
24/05/2024;-0,363;-1,754
17/05/2024;-0,356;-73,068
10/05/2024;-0,206;-72,003
03/05/2024;-0,12;-284,564
26/04/2024;0,065;203,297
19/04/2024;-0,063;9,078
12/04/2024;-0,069;-6,495
05/04/2024;-0,065;11,008
29/03/2024;-0,073;-168,275
22/03/2024;0,107;761,471
15/03/2024;0,012;-66,53
08/03/2024;0,037;-40,973
01/03/2024;0,063;-62,47
23/02/2024;0,167;6,266
16/02/2024;0,157;-32,232
09/02/2024;0,232;8,679
02/02/2024;0,213;1,284
26/01/2024;0,211;10,642
19/01/2024;0,19;-17,146
12/01/2024;0,23;40,679
05/01/2024;0,163;10,475
29/12/2023;0,148;-21,438
22/12/2023;0,188;25,587
15/12/2023;0,15;-21,444
08/12/2023;0,191;43,313
01/12/2023;0,133;35,595
24/11/2023;0,098;-28,028
17/11/2023;0,136;-24,795
10/11/2023;0,181;-7,115
03/11/2023;0,195;-46,284
27/10/2023;0,364;18,038
20/10/2023;0,308;-7,898
13/10/2023;0,335;-6,495
06/10/2023;0,358;-12,612
29/09/2023;0,409;-11,021
22/09/2023;0,46;-14,423
15/09/2023;0,538;19,285
08/09/2023;0,451;16,068
01/09/2023;0,388;-15,149
25/08/2023;0,458;-5,611
18/08/2023;0,485;13,823
11/08/2023;0,426;6,742
04/08/2023;0,399;-8,617
28/07/2023;0,437;5,544
21/07/2023;0,414;-29,136
14/07/2023;0,584;-1,918
07/07/2023;0,595;8,471
30/06/2023;0,549;29,819
23/06/2023;0,423;33,284
16/06/2023;0,317;31,936
09/06/2023;0,24;-25,625
02/06/2023;0,323;11,001
26/05/2023;0,291;10,179
19/05/2023;0,264;41,537
12/05/2023;0,187;-10,293
05/05/2023;0,208;295,159
28/04/2023;0,053;286,862
21/04/2023;-0,028;67,43
14/04/2023;-0,087;25,841
07/04/2023;-0,117;-1194,293
31/03/2023;-0,009;14,726
24/03/2023;-0,011;40,6
17/03/2023;-0,018;82,996
10/03/2023;-0,105;-1083,644
03/03/2023;-0,009;-110,316
24/02/2023;0,086;-8,653
17/02/2023;0,094;224,083
10/02/2023;0,029;-55,131
03/02/2023;0,065;318,857
27/01/2023;-0,029;31,568
20/01/2023;-0,043;-232,61
13/01/2023;0,032;1449,269
06/01/2023;0,002;-90,05
30/12/2022;0,021;287,561
23/12/2022;-0,011;-144,722
16/12/2022;0,025;-63,442
09/12/2022;0,069;532,505
02/12/2022;0,011;-90,358
25/11/2022;0,113;52,351
18/11/2022;0,074;465,993
11/11/2022;0,013;-47,034
04/11/2022;0,025;143,919
28/10/2022;-0,056;-155,536
21/10/2022;-0,022;69,533
14/10/2022;-0,072;11,44
07/10/2022;-0,082;25,704
30/09/2022;-0,11;30,927
23/09/2022;-0,159;17,224
16/09/2022;-0,192;-1,158
09/09/2022;-0,19;0,679
02/09/2022;-0,191;-19,654
26/08/2022;-0,16;-39,856
19/08/2022;-0,114;-15,221
12/08/2022;-0,099;15,738
05/08/2022;-0,118;48,939
29/07/2022;-0,23;4,375
22/07/2022;-0,241;-51,335
15/07/2022;-0,159;19,009
08/07/2022;-0,196;24,812
01/07/2022;-0,261;-8,808
24/06/2022;-0,24;15,88
17/06/2022;-0,285;-44,668
10/06/2022;-0,197;-18,104
03/06/2022;-0,167;-27,258
27/05/2022;-0,131;-2308,547
20/05/2022;0,006;-95,911
13/05/2022;0,145;-5,842
06/05/2022;0,154;-7,892
29/04/2022;0,168;-12,154
22/04/2022;0,191;-5,734
15/04/2022;0,202;102,887
