Date;PX_LAST;CHG_PCT_1D
28/09/2024;4,85372;-0,02554
27/09/2024;4,85496;-0,21212
26/09/2024;4,86528;-0,80533
25/09/2024;4,90478;-0,31827
24/09/2024;4,92044;-0,18501
23/09/2024;4,92956;-0,47043
20/09/2024;4,95286;-1,23673
19/09/2024;5,01488;-1,18735
18/09/2024;5,07514;-0,12005
17/09/2024;5,08124;-0,85346
16/09/2024;5,12498;-1,49554
13/09/2024;5,20279;-0,10484
12/09/2024;5,20825;0,29559
11/09/2024;5,1929;-0,33721
10/09/2024;5,21047;0,44996
09/09/2024;5,18713;-0,2523
06/09/2024;5,20025;-0,14268
05/09/2024;5,20768;-0,91989
04/09/2024;5,25603;-0,32447
03/09/2024;5,27314;-0,09644
02/09/2024;5,27823;0
30/08/2024;5,27823;0,01763
29/08/2024;5,2773;-0,78007
28/08/2024;5,31879;-0,08997
27/08/2024;5,32358;-0,34948
23/08/2024;5,34225;0,17495
22/08/2024;5,33292;-0,56774
21/08/2024;5,36337;-0,35893
20/08/2024;5,38269;-0,09355
19/08/2024;5,38773;-0,04248
16/08/2024;5,39002;0,50082
15/08/2024;5,36316;0,11237
14/08/2024;5,35714;-0,41936
13/08/2024;5,3797;0,03849
12/08/2024;5,37763;0,06197
09/08/2024;5,3743;0,1838
08/08/2024;5,36444;-0,02478
07/08/2024;5,36577;0,89599
06/08/2024;5,31812;-1,40712
05/08/2024;5,39402;-1,73645
02/08/2024;5,48934;-0,26146
01/08/2024;5,50373;0,01854
31/07/2024;5,50271;-0,11944
30/07/2024;5,50929;-0,08034
29/07/2024;5,51372;-0,05909
26/07/2024;5,51698;-0,14822
25/07/2024;5,52517;-0,28245
24/07/2024;5,54082;-0,09718
23/07/2024;5,54621;0,02236
22/07/2024;5,54497;0,00667
19/07/2024;5,5446;0,01768
18/07/2024;5,54362;0,04584
17/07/2024;5,54108;0,00415
16/07/2024;5,54085;-0,11771
15/07/2024;5,54738;-0,00613
12/07/2024;5,54772;-0,27432
11/07/2024;5,56298;-0,04887
10/07/2024;5,5657;0,0009
09/07/2024;5,56565;-0,0106
08/07/2024;5,56624;-0,04059
05/07/2024;5,5685;-0,13218
04/07/2024;5,57587;0
03/07/2024;5,57587;-0,07008
02/07/2024;5,57978;-0,04872
01/07/2024;5,5825;-0,06641
28/06/2024;5,58621;-0,12444
27/06/2024;5,59317;-0,05396
26/06/2024;5,59619;-0,08587
25/06/2024;5,601;-0,02089
24/06/2024;5,60217;-0,07117
21/06/2024;5,60616;-0,05187
20/06/2024;5,60907;0,00088
19/06/2024;5,60902;0
18/06/2024;5,60902;0,06852
17/06/2024;5,60518;-0,00821
14/06/2024;5,60564;0,08588
13/06/2024;5,60083;-0,13177
