observation_date,ECBASSETSW
2009-01-02,2088878.0000000000
2009-01-09,2045566.0000000000
2009-01-16,2010655.0000000000
2009-01-23,2039799.0000000000
2009-01-30,1906979.0000000000
2009-02-06,1893796.0000000000
2009-02-13,1834051.0000000000
2009-02-20,1858375.0000000000
2009-02-27,1820268.0000000000
2009-03-06,1840819.0000000000
2009-03-13,1829433.0000000000
2009-03-20,1822548.0000000000
2009-03-27,1803083.0000000000
2009-04-03,1836384.0000000000
2009-04-10,1827798.0000000000
2009-04-17,1840083.0000000000
2009-04-24,1823963.0000000000
2009-05-01,1799225.0000000000
2009-05-08,1795099.0000000000
2009-05-15,1764158.0000000000
2009-05-22,1736870.0000000000
2009-05-29,1799610.0000000000
2009-06-05,1747838.0000000000
2009-06-12,1726624.0000000000
2009-06-19,1719718.0000000000
2009-06-26,1997319.0000000000
2009-07-03,1911628.0000000000
2009-07-10,1888909.0000000000
2009-07-17,1875712.0000000000
2009-07-24,1867848.0000000000
2009-07-31,1854093.0000000000
2009-08-07,1835895.0000000000
2009-08-14,1801757.0000000000
2009-08-21,1798364.0000000000
2009-08-28,1821371.0000000000
2009-09-04,1819488.0000000000
2009-09-11,1802473.0000000000
2009-09-18,1792972.0000000000
2009-09-25,1790242.0000000000
2009-10-02,1844567.0000000000
2009-10-09,1802742.0000000000
2009-10-16,1801388.0000000000
2009-10-23,1786122.0000000000
2009-10-30,1779000.0000000000
2009-11-06,1773685.0000000000
2009-11-13,1759605.0000000000
2009-11-20,1761476.0000000000
2009-11-27,1759186.0000000000
2009-12-04,1759429.0000000000
2009-12-11,1744542.0000000000
2009-12-18,1842352.0000000000
2009-12-25,1852463.0000000000
2010-01-01,1904935.0000000000
2010-01-08,1879590.0000000000
2010-01-15,1870606.0000000000
2010-01-22,1870342.0000000000
2010-01-29,1877655.0000000000
2010-02-05,1874500.0000000000
2010-02-12,1874687.0000000000
2010-02-19,1880871.0000000000
2010-02-26,1889017.0000000000
2010-03-05,1890311.0000000000
2010-03-12,1886697.0000000000
2010-03-19,1889712.0000000000
2010-03-26,1894898.0000000000
2010-04-02,1942548.0000000000
2010-04-09,1936654.0000000000
2010-04-16,1939989.0000000000
2010-04-23,1943260.0000000000
2010-04-30,1956819.0000000000
2010-05-07,1983241.0000000000
2010-05-14,2062943.0000000000
2010-05-21,2069968.0000000000
2010-05-28,2088450.0000000000
2010-06-04,2098508.0000000000
2010-06-11,2107126.0000000000
2010-06-18,2124740.0000000000
2010-06-25,2154245.0000000000
2010-07-02,2049811.0000000000
2010-07-09,2004747.0000000000
2010-07-16,1986989.0000000000
2010-07-23,1993612.0000000000
2010-07-30,2001660.0000000000
2010-08-06,1964906.0000000000
2010-08-13,1953086.0000000000
2010-08-20,1956064.0000000000
2010-08-27,1957926.0000000000
2010-09-03,1963223.0000000000
2010-09-10,1973255.0000000000
2010-09-17,1970482.0000000000
2010-09-24,1971356.0000000000
2010-10-01,1865885.0000000000
2010-10-08,1867952.0000000000
2010-10-15,1876946.0000000000
2010-10-22,1877963.0000000000
